algorithm,scenario,episode,steps,reward_mean_average,reward_sum_total,source
MAAC,E3,17,8760,-0.5258729295559338,-78312.99666946966,Drive results.json episode_summaries
MAAC,E3,18,8760,-0.5417912079477062,-80683.54668757241,Drive results.json episode_summaries
MAAC,E3,19,8760,-0.5503844582558507,-81963.25352346129,Drive results.json episode_summaries
MAAC,E3,20,8760,-0.525663594045537,-78281.82242526137,Drive results.json episode_summaries
MAAC,E3,21,8760,-0.5422065180652932,-80745.39467028347,Drive results.json episode_summaries
MAAC,E3,22,8760,-0.5505652636516364,-81990.17906300169,Drive results.json episode_summaries
MAAC,E3,23,8760,-0.5262573294628416,-78370.24150360638,Drive results.json episode_summaries
MAAC,E3,24,8760,-0.5416786509701544,-80666.7847024754,Drive results.json episode_summaries
MAAC,E3,25,8745,-0.5500937393686588,-81779.68576324166,Drive results.json episode_summaries
MAAC,E3,26,8760,-0.5251472782170726,-78204.93267208645,Drive results.json episode_summaries
MAAC,E3,27,8760,-0.5417073115605485,-80671.05283759689,Drive results.json episode_summaries
MAAC,E3,28,8760,-0.550622311984098,-81998.67470067187,Drive results.json episode_summaries
MAAC,E3,29,8760,-0.5254960123263164,-78256.86615563503,Drive results.json episode_summaries
MAAC,E3,30,8760,-0.5419594455585118,-80708.60063257358,Drive results.json episode_summaries
MAAC,E3,31,8760,-0.5502879415268641,-81948.88025218059,Drive results.json episode_summaries
MAAC,E3,32,8760,-0.5254341807570457,-78247.65819833924,Drive results.json episode_summaries
MAAC,E3,33,8760,-0.5417746739943917,-80681.08445124482,Drive results.json episode_summaries
MAAC,E3,34,8760,-0.5502774119072933,-81947.31218123413,Drive results.json episode_summaries
MAAC,E3,35,8760,-0.5255541150930683,-78265.51881965973,Drive results.json episode_summaries
MAAC,E3,36,8760,-0.5420844121195109,-80727.21065283756,Drive results.json episode_summaries
MAAC,E3,37,8760,-0.5506697682562725,-82005.7418887241,Drive results.json episode_summaries
MAAC,E3,38,8747,-0.526292534335744,-78259.1735631908,Drive results.json episode_summaries
